,FUNCION,VACIO,PRINCIPAL,PARENTESIS_IZQ,PARENTESIS_DER,LLAVES_IZQ,LLAVES_DER,IDENTIFICADOR,RETORNAR,FIN_SENTENCIA,COMA,ASIGNACION,ENTERO,DECIMAL,CARACTER,CADENA,BOLEANO,SI,SINO,MIENTRAS,PARA,SUMA,RESTA,MULTIPLICACION,DIVISION,IGUAL,DIFERENTE,MENOR_QUE,MENOR_IGUAL_QUE,MAYOR_QUE,MAYOR_IGUAL_QUE,DISYUNCION,CONJUNCION,NEGACION,NUMERO_ENTERO,NUMERO_DECIMAL,LITERAL_CADENA,LITERAL_CARACTER,VERDADERO,FALSO,$
programa,FUNCION VACIO PRINCIPAL PARENTESIS_IZQ PARENTESIS_DER LLAVES_IZQ declaraciones LLAVES_DER funciones_adicionales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
funciones_adicionales,funcion funciones_adicionales_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
funciones_adicionales_,funcion funciones_adicionales_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e
funcion,FUNCION tipo IDENTIFICADOR PARENTESIS_IZQ parametros PARENTESIS_DER LLAVES_IZQ declaraciones RETORNAR retorno FIN_SENTENCIA LLAVES_DER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retorno,,,,expresion,,,,expresion,,e,,,,,,,,,,,,,,,,,,,,,,,,expresion,expresion,expresion,expresion,expresion,expresion,expresion,
parametros,,parametro parametros_,,,e,,,,,,,,parametro parametros_,parametro parametros_,parametro parametros_,parametro parametros_,parametro parametros_,,,,,,,,,,,,,,,,,,,,,,,,
parametros_,,,,,e,,,,,,COMA parametro parametros_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parametro,,tipo IDENTIFICADOR,,,,,,,,,,,tipo IDENTIFICADOR,tipo IDENTIFICADOR,tipo IDENTIFICADOR,tipo IDENTIFICADOR,tipo IDENTIFICADOR,,,,,,,,,,,,,,,,,,,,,,,,
declaraciones,,declaracion declaraciones_,,,,,,declaracion declaraciones_,,,,,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,,declaracion declaraciones_,declaracion declaraciones_,,,,,,,,,,,,,,,,,,,,
declaraciones_,,declaracion declaraciones_,,,,,e,declaracion declaraciones_,e,,,,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,declaracion declaraciones_,,declaracion declaraciones_,declaracion declaraciones_,,,,,,,,,,,,,,,,,,,,
declaracion,,creacion_variable,,,,,,IDENTIFICADOR declaracion_,,,,,creacion_variable,creacion_variable,creacion_variable,creacion_variable,creacion_variable,estructura_control,,estructura_control,estructura_control,,,,,,,,,,,,,,,,,,,,
declaracion_,,,,llamada_funcion,,,,,,,,asignacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
